method,maxsize,instance,time,objective
mincut,10,N-t69r11xx_150,2.8387136459350586,11023368
mincut,10,N-t70b11xx_150,3.148865222930908,9141443
mincut,10,N-t70d11xn_150,3.60325288772583,5387370
mincut,10,N-t70d11xx_150,3.6368210315704346,5756858
mincut,10,N-t70f11xx_150,3.2457175254821777,4791121
mincut,10,N-t70l11xx_150,1.754849195480347,414956
mincut,10,N-t70n11xx_150,3.238915205001831,892546
mincut,10,N-t74d11xx_150,3.645378351211548,8699600
mincut,10,N-t75d11xx_150,3.599072933197021,8920550
mincut,10,N-t75e11xx_150,3.5792031288146973,39174550
mincut,10,N-t75k11xx_150,3.041577816009521,1418012
mincut,10,N-t75n11xx_150,3.208872079849243,1631107
mincut,10,N-tiw56n54_150,3.3909780979156494,785644
mincut,10,N-tiw56n58_150,3.3474395275115967,1077246
mincut,10,N-tiw56n62_150,3.5488083362579346,1503000
mincut,10,N-tiw56n66_150,3.6207969188690186,1967254
mincut,10,N-tiw56n67_150,3.572453498840332,2211501
mincut,10,N-tiw56n72_150,3.761869430541992,3831063
mincut,10,N-tiw56r54_150,3.444772481918335,905734
mincut,10,N-tiw56r58_150,3.740316152572632,1139835
mincut,10,N-tiw56r66_150,3.941207408905029,1795826
mincut,10,N-tiw56r67_150,3.6131725311279297,1920958
mincut,10,N-tiw56r72_150,3.56853461265564,2635285
mincut,20,N-be75eec_150,3.045117855072021,3263971
mincut,20,N-be75np_150,3.258161783218384,6755941
mincut,20,N-be75oi_150,2.510969400405884,2181846
mincut,20,N-be75tot_150,3.565337896347046,11471017
mincut,20,N-stabu1_150,3.6009533405303955,2706512
mincut,20,N-stabu2_150,3.5114874839782715,4039475
mincut,20,N-stabu3_150,3.4252095222473145,4230145
mincut,20,N-t59b11xx_150,2.514629364013672,3017375
mincut,20,N-t59d11xx_150,2.6330246925354004,1354392
mincut,20,N-t59f11xx_150,2.486581802368164,1423619
mincut,20,N-t59n11xx_150,2.545249938964844,300125
mincut,20,N-t65b11xx_150,3.1858789920806885,6078535
mincut,20,N-t65d11xx_150,3.239884376525879,3293850
mincut,20,N-t65f11xx_150,3.3317863941192627,2934414
mincut,20,N-t65l11xx_150,1.4474124908447266,242513
mincut,20,N-t65n11xx_150,3.087327241897583,522012
mincut,20,N-t69r11xx_150,2.8157224655151367,11099736
mincut,20,N-t70b11xx_150,2.997855424880981,9141854
mincut,20,N-t70d11xn_150,3.546051502227783,5403623
mincut,20,N-t70d11xx_150,3.559938669204712,5769865
